city,lat,lon,territory,group,aliases
Luanda,-8.839,13.235,Angola,foreign,
Luang-Prabang,19.886,102.135,Indochine,empire,
Lyon,45.764,4.836,France,metropole,
Léopoldville,-4.322,15.307,Congo-Kinshasa,foreign,Kinshasa
Madrid,40.417,-3.704,Espagne,foreign,
Maison-Carrée,36.723,3.163,Algérie,empire,
Majunga,-15.716,46.316,Madagascar,empire,Mahajanga
Marrakech,31.63,-8.008,Maroc,empire,
Marseille,43.296,5.37,France,metropole,
Mascara,35.397,0.14,Algérie,empire,
Meknès,33.895,-5.555,Maroc,empire,
Mogador,31.513,-9.77,Maroc,empire,Essaouira
Moroni,-11.702,43.256,Comores,empire,
Mostaganem,35.931,0.089,Algérie,empire,
Mytho,10.36,106.36,Indochine,empire,My Tho; My-Tho
Nam-Dinh,20.42,106.168,Indochine,empire,Nam-Định; Namdinh
Nantes,47.218,-1.554,France,metropole,
Nhatrang,12.239,109.196,Indochine,empire,Nha-Trang
Niamey,13.512,2.112,Soudan français,empire,
Nice,43.7,7.265,France,metropole,
Nossi-Bé,-13.317,48.258,Madagascar,empire,Nosy-Be
Nouakchott,18.079,-15.965,Mauritanie,empire,
Nouméa,-22.276,166.458,Nouvelle-Calédonie,empire,
Oran,35.697,-0.633,Algérie,empire,
Ouagadougou,12.371,-1.52,Soudan français,empire,
Ouargla,31.949,5.325,Algérie,empire,
Oujda,34.681,-1.908,Maroc,empire,
Papeete,-17.535,-149.57,Tahiti (Polynésie),empire,
Paramaribo,5.852,-55.204,Guyane hollandaise,foreign,
Paris,48.857,2.352,France,metropole,
Phanthiêt,10.933,108.1,Indochine,empire,Phan-Thiet; Phan-Thiêt
Philippeville,36.879,6.906,Algérie,empire,Skikda
Pnom-Penh,11.562,104.916,Indochine,empire,Phnom Penh; Phnom-Penh; Pnompenh
Pointe-Noire,-4.795,11.864,Congo-Brazzaville,empire,
Pointe-à-Pitre,16.241,-61.533,Guadeloupe et Martinique,empire,Pointe a Pitre
Pondichéry,11.934,79.83,Inde française,empire,
Port-Bouët,5.256,-3.93,Côte d'Ivoire,empire,
Port-Gentil,-0.717,8.783,Gabon,empire,
Port-Lyautey,34.261,-6.58,Maroc,empire,Kénitra
Port-Saïd,31.257,32.302,Égypte,foreign,
Port-Vila,-17.734,168.322,Nouvelles-Hébrides,empire,
Porto-Novo,6.497,2.605,Dahomey (Bénin),empire,
Pékin,39.904,116.407,Chine,foreign,
Quinhon,13.782,109.219,Indochine,empire,Qui-Nhon
Rabat,34.021,-6.841,Maroc,empire,
Rio-de-Janeiro,-22.907,-43.173,Brésil,foreign,
Rome,41.903,12.496,Italie,foreign,
Rotterdam,51.924,4.478,Pays-Bas,foreign,
Rouen,49.443,1.099,France,metropole,
Rufisque,14.715,-17.267,Sénégal,empire,
Safi,32.299,-9.238,Maroc,empire,
Saint-Denis,-20.882,55.45,La Réunion,empire,
Saint-Louis,16.018,-16.489,Sénégal,empire,Saint Louis; Saint-Louis-du-Sénégal
Saint-Nazaire,47.273,-2.213,France,metropole,
Saint-Pierre,46.781,-56.172,Saint-Pierre et Miquelon,empire,
Salonique,40.64,22.944,Grèce,foreign,Thessalonique
Santiago,-33.449,-70.669,Chili,foreign,
Saïgon,10.776,106.7,Indochine,empire,Ho-Chi-Minh-Ville; Saigon; Sài Gòn
Settat,33.001,-7.616,Maroc,empire,
Sfax,34.74,10.76,Tunisie,empire,
Shanghai,31.23,121.474,Chine,foreign,
Sidi-bel-Abbès,35.194,-0.63,Algérie,empire,Bel-Abbès
Singapour,1.352,103.82,Malaisie,foreign,
Smyrne,38.419,27.129,Empire ottoman/Turquie,foreign,Izmir
Soctrang,9.603,105.98,Indochine,empire,Soc-Trang
Sofia,42.698,23.322,Bulgarie,foreign,
Sourabaya,-7.25,112.751,Java et Sumatra,foreign,Surabaya
Sousse,35.826,10.637,Tunisie,empire,
Strasbourg,48.573,7.752,France,metropole,
Sétif,36.19,5.409,Algérie,empire,
Tamatave,-18.15,49.402,Madagascar,empire,Toamasina
Tananarive,-18.879,47.508,Madagascar,empire,Antananarivo
Tanger,35.759,-5.834,Maroc,empire,Tangier
Thiès,14.79,-16.933,Sénégal,empire,
Thudaumot,10.98,106.652,Indochine,empire,Thu-Dau-Mot
Tientsin,39.125,117.2,Chine,foreign,
Tiflis,41.716,44.783,Géorgie,foreign,Tbilissi
Tizi-Ouzou,36.712,4.047,Algérie,empire,
Tlemcen,34.878,-1.315,Algérie,empire,
Toulon,43.125,5.93,France,metropole,
Toulouse,43.605,1.444,France,metropole,
Tourane,16.068,108.221,Indochine,empire,Da-Nang
Tripoli,32.887,13.191,Cyrénaïque et Tripolitaine,foreign,
Tuléar,-23.354,43.667,Madagascar,empire,
Tunis,36.806,10.181,Tunisie,empire,
Vientiane,17.975,102.63,Indochine,empire,
Vinh,18.679,105.681,Indochine,empire,
Yaoundé,3.867,11.517,Cameroun,empire,
Ziguinchor,12.583,-16.272,Sénégal,empire,
