company_id,name,acronym,in_catalogue,n_documents,regions,countries,sectors,corporate_group,place_listed,legal_form_listed,year_start_listed,year_end_listed,founded_date_observed,capital_observed,capital_year,head_office_observed,n_ties,n_board_ties,n_directors,first_year_observed,last_year_observed
canalcorinthe,Nouvelle Société du canal de Corinthe,,0,1,Proche-Orient,Grèce,,,,,,,,,,,123,123,32,1912,1953
unionindustriellecredit,Union industrielle de crédit,,0,2,Empire (transversal); Indochine,Indochine,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,,,,,,,,,Paris : … Union industrielle de crédit,124,123,54,1927,1953
financierecaoutchoucs,Financière des Caoutchoucs,,1,3,Empire (transversal),,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,Financière des Caoutchoucs (Société),,,1909,1919,1909-07-08,350 millions fr.,1952,"Bruxelles, 52, rue Royale",122,122,51,1912,1951
banquecommercialeafricaine,Banque commerciale africaine,,1,6,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Sénégal,Banque; Documents généraux (par ordre chronologique),,,,1924,1963,1924-07-05,500.000.000 fr.,1951,"52, rue Laffitte — PARIS",131,121,43,1924,1953
navigationsudatlantique,Compagnie de Navigation Sud-Atlantique,,1,3,Empire (transversal); Indochine,Indochine,Documents généraux (par ordre chronologique); Transports maritimes,,,,1912,,1912-01-26,200 millions fr.,1953,": Paris, 3, boulevard Malesherbes. Tel. : ANJ. 07-36",122,121,70,1913,1953
creditalgerien,"Crédit algérien, puis Crédit privé",,1,5,Afrique equatoriale francaise; Algerie; Empire (transversal); Pacifique,Afrique équatoriale française; Algérie; Nouvelle-Calédonie (Mélanésie); Nouvelles-Hébrides (Mélanésie),"Banques et groupes financiers; Banques et groupes financiers, assurances; Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique); Entreprises diverses",,,,1881,,1881-01-26,,,"PARIS, 10, place Vendôme",124,121,48,1880,1951
portetienne,Port-Étienne,,1,2,Afrique occidentale francaise,Afrique occidentale française; Mauritanie,Documents généraux (par ordre chronologique); Industries diverses,,,,,,1919-06-05,,,Port-Étienne (Mauritanie),121,121,113,1932,1932
banqueindustrielleafriquenord,Banque industrielle de l'Afrique du Nord,,1,2,Algerie; Empire (transversal),Algérie,"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique)",,Paris; Alger,,,,1919-08-11,300 millions fr.,1950,"26, avenue de l'Opéra, PARIS (1er)",121,119,47,1919,1950
etablissementsmaurelprom,Établissements Maurel et Prom,,0,5,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française,Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,,,,,,1919-11-01,10 millions fr.,1975,"Bordeaux, 19, rue Porte-Dijeaux",121,117,32,1926,1975
creditmarocain,Crédit marocain,,1,10,Afrique equatoriale francaise; Empire (transversal); Maroc,Afrique équatoriale française; Maroc,"Banques et groupes financiers; Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires",,,,1913,,1946-07-03,6.000.000 fr.,1918,"Casablanca, 27, bd Moulay-Youssef",118,116,74,1913,1952
heraclee,Société d'Héraclée,,0,1,Proche-Orient,Empire ottoman/Turquie,,,,,,,,,,Istanbul,116,116,39,1912,1943
afrique,L'Afrique française,CAFRA,1,16,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Maroc,Afrique occidentale française; Afrique équatoriale française; Algérie; Congo-Brazzaville ou Moyen-Congo; Maroc,"Agro-alimentaire; Banques et groupes financiers; Banques et groupes financiers, assurances; Commerce; Documents généraux (par ordre chronologique); Sociétés commerciales",,Alger,S.A,1887,1902,1924-03-31,30.000.000 fr.,1938,"POINTE-NOIRE (Moyen-Congo), A.-E. F",115,115,52,1911,1951
colonies,Compagnie Générale des colonies,,1,15,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Inde et Indochine; Indochine; Madagascar et Djibouti; Maroc; Proche-Orient,Afrique occidentale française; Afrique équatoriale française; Côte d'Ivoire; Empire ottoman/Turquie; Indochine; Madagascar; Maroc; Syrie-Liban,"Agro-alimentaire, cultures industrielles; Banques et sociétés financières; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Groupes financiers transcoloniaux; Groupes indochinois et dirigeants d'affaires diverses; Industries agro-alimentaires",,,,1920,1958,,12 millions francs,1929,"Paris, 282, bd St-Germain",180,114,52,1922,1953
messageriesfluvialescochinchine,Messageries fluviales de Cochinchine,,1,10,Empire (transversal); Inde et Indochine; Indochine,Indochine,"Banque, gérance, assurances…; Bois, meubles, papier, allumettes; Café, thé, épices, coco, quinquina, vanille; Documents généraux (par ordre chronologique); Groupes indochinois et dirigeants d'affaires diverses; Transports fluviaux, maritimes et aériens; Transports fluviaux, maritimes et aériens. Ports, phares","Messageries fluviales de Cochinchine (Jules Rueff, puis Gaston Rueff)",,,1881,1927,1881-06-01,1.221 francs,1957,"5, quai Le Myre-de-Vilers — SAIGON",115,114,43,1881,1953
etudesentreprisescoloniales,Compagnie française d'Études et entreprises coloniales,,1,1,Empire (transversal),,Groupes financiers transcoloniaux,,,,1906,1925,1906-02-09,600.000 francs,1921,Paris,114,112,84,1918,1925
salinssinesaloum,Salins du Sine Saloum,,1,6,Afrique occidentale francaise,Afrique occidentale française; Sénégal,Documents généraux (par ordre chronologique); Mines,,,S.A,1914,,,24 millions fr.,1963,KAOLACK (Sénégal),112,112,43,1914,1975
creditfoncierindochine,Crédit foncier de l’Indochine,,1,9,Afrique occidentale francaise; Empire (transversal); Inde et Indochine; Indochine,Indochine; Sénégal,"Banque; Banque, gérance, assurances…; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières",Crédit foncier de l’Indochine :,,,1923,1957,1923-02-20,25 millions fr.,1970,Paris,115,111,34,1920,1951
maroc,Compagnie du Maroc,,1,13,Afrique equatoriale francaise; Empire (transversal); Indochine; Maroc; Pacifique,Afrique équatoriale française; Indochine; Maroc; Tahiti (Polynésie),"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Sociétés; Sociétés foncières et immobilières; Transports fluviaux, maritimes et aériens. Ports, phares; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles",,Tanger,,,,1912-02-12,130 millions fr.,1951,": PARIS, 47, bd Haussmann",111,109,51,1913,1969
mozambique,Compagnie de Mozambique,,1,1,Madagascar et Djibouti,Mozambique,,,,,1888,,1891-02-11,25 millions francs,1901,"Beira (Afrique Orientale). Administration : Lisbonne (Portugal), 10, Largo da Biblioteca",109,108,60,1912,1953
banquefrancochinoisecommerceindustrie,Banque franco-chinoise pour le commerce et l'industrie,,0,4,Empire (transversal); Indochine,Chine; Indochine,Documents généraux (par ordre chronologique); Sociétés françaises ou à participation française,,,,,,,53.000.000 fr.,1943,"Paris, no 74, rue Saint-Lazare",106,106,48,1937,1951
creditfonciermadagascar,Crédit foncier de Madagascar,,0,6,Afrique occidentale francaise; Empire (transversal); Madagascar et Djibouti; Proche-Orient,Madagascar; Syrie-Liban; Sénégal,Banques et groupes financiers; Banques et sociétés financières; Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,,,1919-12-12,13 millions francs,1929,"et direction générale, 7, place Vendôme, PARIS (1er)",107,106,36,1922,1951
africaine,L'Africaine,,1,9,Afrique equatoriale francaise; Afrique occidentale francaise; Maroc,Afrique occidentale française; Afrique équatoriale française; Gabon; Maroc,Commerce; Documents généraux (par ordre chronologique); Industrie,,,S.A,1924,,1910-05-06,114 millions francs,1951,"Sté Tardy et Cie, 63, rue de la République, MARSEILLE",110,106,67,1910,1958
industriellefonciere,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",,1,2,Empire (transversal),,Bâtiment et travaux publics; Groupes financiers transcoloniaux,"Société générale foncière (Gaston Bach, Georges Schiff Giorgini)",Paris,,1950,,1934-09-27,2.250.000 francs,1949,"est à Lyon, 14, route de Vienne",106,106,56,1907,1948
culturesdiakandape,Cultures de Diakandapé,,1,5,Afrique occidentale francaise,"Afrique occidentale française; Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",Documents généraux (par ordre chronologique); Industrie,,Kayes,S.A,1919,,1919-04-23,19.500.000 fr.,1953,"la colonie, ne peut, dans les",105,105,30,1922,1963
franconeerlandaiseculturecommerce,Société Franco-néerlandaise de culture et de commerce,,1,1,Inde et Indochine; Indochine,Java et Sumatra (Indes néerlandaises),Plantations à participation française,,,S.A,1908,,1908-03-05,,,"La Haye. Bureau à Paris : 23, rue de la Pépinière",110,105,31,1910,1953
minesproduitschimiques,Société de Mines et de produits chimiques,,1,1,Empire (transversal),,Groupes miniers transcoloniaux,,Paris,,1910,,1910-08-27,500 millions fr.,1953,"Paris, rue Lord-Byron, 2. Tél. : BAL. 46-00",108,105,36,1910,1953
pyreneenneenergieelectrique,Société Pyrénéenne d'Énergie électrique,,1,1,Empire (transversal); Proche-Orient,,"Eau et assainissement, électricité (utilities); Eaux, électricité (utilities)",,,S.A,1907,,,157.892.500 fr.,1953,"Paris, 14, rue Roquépine. Tél. : ANJ. 33-30 et 33-31",109,104,28,1912,1953
cheminsferroutesalgerie,Société des Chemins de fer sur routes d'Algérie,CFRA,1,1,Algerie,Algérie,"Transports terrestres, garages automobiles et agricoles",,,,,,1892-03-07,17.500.000 francs,1931,"Paris, rue d'Athènes, 20. TRI. 37-44 à 46",105,103,41,1906,1953
constructions,CONSTRUCTIONS,,0,5,Afrique equatoriale francaise; Empire (transversal); Madagascar et Djibouti,Afrique équatoriale française; Madagascar,Bâtiment et travaux publics; Documents généraux (par ordre chronologique),,,,,,,1.500.000 fr.,1942,les Sables-d’Olonne (Vendée),102,102,45,1922,1938
agricolesucrierenossibe,Compagnie Agricole et Sucrière de Nossi-Bé,,1,6,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,,,1920-06-08,184.440.000 fr.,1955,"Paris, 24. rue Fortuny. Tél. : WAG. 85-31",105,101,51,1920,1973
cheminsferindochineyunnan,Compagnie française des Chemins de fer de l'Indochine et du Yunnan,,1,6,Inde et Indochine; Indochine,Indochine,Documents généraux (par ordre chronologique); Transports terrestres et garages,,,,,,1901-08-10,231 millions fr.,1971,de la Compagnie à Paris,101,99,44,1890,1971
mineshuaron,Compagnie des Mines de Huaron,,1,2,Antilles-Guyane; Tunisie,Pérou; Tunisie,Mines,,,,,,1912-05-24,50 millions francs,1936,"Paris, 57, rue Pierre-Charron. Tél. ELY. 09-46",98,98,40,1910,1953
francoespagnolecheminfertangerfez,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,,1,5,Maroc,Maroc,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",,,,,,1916-06-26,15.000.000 francs,1943,MEKNÈS,100,98,66,1913,1969
unionfinanciereextremeorient,Union financière d'Extrême-Orient,,0,6,Empire (transversal); Indochine,Indochine,Documents généraux (par ordre chronologique); Groupes indochinois et dirigeants d'affaires diverses; Héveas et caoutchouc; Sociétés foncières et immobilières,,,,,,1929-10-23,10.000.000 piastres,1953,Djibouti permettait de mieux,98,98,29,1937,1953
banqueafriqueoccidentale,Banque de l'Afrique occidentale,BAO,1,5,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Sénégal,Banque; Documents généraux (par ordre chronologique),,Dakar,,1901,1965,1901-06-29,1.500.000 francs,1912,"de chaque colonie, et à Dakar une commission supérieure",103,97,34,1901,1951
plantationspalmeraiesogooue,Cie générale des Plantations et palmeraies de l'Ogooué,,1,3,Afrique equatoriale francaise,Afrique équatoriale française; Gabon,Agro-alimentaire; Documents généraux (par ordre chronologique),,,,,,1928-07-10,12 millions francs,1937,"1, rue de Courty, PARIS (7e)",100,96,45,1928,1959
agricoleindustriellemadagascar,Compagnie Agricole et Industrielle de Madagascar,CAIM,1,6,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,1919,,1919-12-09,17.600.000 fr.,1922,"Marseille, 49, rue Grignan, a",97,96,29,1922,1973
minesfalemegambie,Compagnie des Mines de Falémé-Gambie,,1,5,Afrique occidentale francaise,Afrique occidentale française; Sénégal,Documents généraux (par ordre chronologique); Mines,,,,1911,1953,1911-04-10,3.500.000 fr.,1975,Paris,96,96,41,1911,1975
ouenza,Société de l'Ouenza,,1,3,Algerie,Algérie,Documents généraux (par ordre chronologique); Mines et carrières,,,,,,,300.860.500 fr.,1948,Ouenza (Algérie),96,96,65,1910,1948
minesorandavakoera,Société des mines d'or de l'Andavakoera,SMOA,1,5,Madagascar et Djibouti,Madagascar,Documents généraux (par ordre chronologique); Mines,,,,,,1911-03-20,3.375.000 francs,1942,"Paris, 24, rue Chaptal. Tél. Trin. 40-24",100,96,39,1910,1973
chauxcimentsmateriauxconstructionmaroc,"Chaux, ciments et matériaux de construction au Maroc",,1,5,Maroc,Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",,,S.A,1913,,1913-05-14,10 millions francs,1931,"est à Casablanca, rue de Marinié, actuellement en liquidation volontaire, représentée",97,95,41,1913,1969
cotonniereequatoriale,Cie cotonnière équatoriale française,,0,4,Afrique equatoriale francaise,Afrique équatoriale française,Banques et groupes financiers; Documents généraux (par ordre chronologique),,,,,,,330 millions fr.,1955,"Brazzaville. Bureaux à Paris : 9, av. de Friedland [= Sté mobilière et immobilière franco-",102,95,41,1929,1953
commercialeindustrielleagricolehautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",SHO,1,6,Afrique equatoriale francaise,Afrique équatoriale française; Gabon,Documents généraux (par ordre chronologique); Industrie,,,,1894,1947,,472.500.000 francs,1958,"43, rue Laffitte, Paris",98,95,40,1912,1951
constructionafricaine,La Construction africaine,,1,5,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française,Bâtiment et travaux publics; Documents généraux (par ordre chronologique),,,,,,,2.000.000 francs,1922,"2, Rond Point de l’Étoile, DAKAR (Sénégal)",93,93,36,1922,1938
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,,1,2,Algerie; Empire (transversal),Algérie,Groupes miniers transcoloniaux; Mines et carrières,Mokta-el-Hadid (Compagnie des minerais de fer magnétiques de) :,,,1865,1980,1865-04-29,20.000.000 fr.,1916,en outre dans des sociétés métropolitaines : Chemins de fer de,93,92,37,1879,1912
cheminsferouestalgerien,Compagnie des Chemins de fer de l'Ouest-Algérien,,1,1,Algerie,Algérie,"Transports terrestres, garages automobiles et agricoles",,,,1877,,1881-11-10,17 millions fr.,1942,"Paris, 5, rue Louis-le-Grand",94,92,42,1879,1942
francowyomingoilcy,Franco-Wyoming Oil Cy,,1,1,Empire (transversal),,Groupes financiers transcoloniaux,Caplane (Pierre-Eugène et Henri de) : capitalistes discrets,,,,,,100.000 fr.,1924,"du vaincu, à Wilmington, dans le Delaware. [151] Le bilan de",92,92,34,1908,1953
minesbouarfa,Société des Mines de Bou-Arfa,,1,6,Algerie; Maroc,Algérie; Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Mines; Transports maritimes et aériens",,,,,,1922-08-11,112.050.000 fr.,1954,"Paris, 101 rue Saint-Lazare. Tél. : FIG. 71-14",94,92,33,1922,1969
cheminsfergarantiscoloniesfrancaises,Cie des Chemins de fer garantis des colonies françaises,,1,5,Inde et Indochine; Indochine,Indochine,Documents généraux (par ordre chronologique); Transports terrestres et garages,,,,,,1881-11-15,2.378.500 francs,1949,de la Compagnie des Chemins de fer garantis des Colonies françaises sera,95,91,26,1882,1971
cheminsfertramwaysvargard,Société des Chemins de fer et tramways du Var et du Gard,,1,1,Empire (transversal),,Transports terrestres,"Générale Française de Tramways (Compagnie)(1875-1953), puis Générale française de transports et d'entreprises (Compagnie)",,,,,1890-06-04,15.712.500 fr.,1953,"Toulon, Bureaux à Paris 3, rue Moncey. Tél. . TRI. 12-95",94,91,28,1908,1953
bonmarche,Au Bon Marché,,1,1,Empire (transversal),,Sociétés commerciales transcoloniales,,,,,,1920-07-31,20 millions francs,1931,"Paris, rue du Bac, 135 à 157, et rue de Sèvres. Tél. : LIT.11-20",106,90,41,1923,1953
coteafrique,CÔTE D'AFRIQUE,,0,4,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Afrique équatoriale française,Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,,,,,,,7.000.000 FR,1925,Grand-Bassam (Côte-d'Ivoire). Ad. t. Jacor-Grand-Bassam. Soc. an. au cap. de,91,90,52,1925,1938
huelvacoppersulfurminesltd,"Huelva Copper and Sulfur Mines, Ltd",,0,1,Empire (transversal),,Groupes financiers transcoloniaux,,,,,,,,,"Londres, 2, Queen Anne’s Gate, S.W. 1. Bureau à Paris, 37, rue Boissière",92,90,23,1917,1953
acieriesnord,Aciéries du Nord,ADN,1,1,Empire (transversal),,Groupes financiers transcoloniaux,"Goudchaux, à Metz et Paris : un siècle et demi de banque",,,,,1912-06-10,476.660.000 fr.,1953,"Paris, rue Saint-Honoré, 223. Tél. : OPE. 83-55",94,89,29,1922,1953
cheminferdamashamahprolongements,Chemin de fer Damas-Hamah et prolongements,DHP,1,1,Proche-Orient,Syrie-Liban,Transports terrestres,,,,,,1891-11-22,180.000.000 millions fr.,1953,"63, av. de Villiers, Paris",89,89,37,1909,1953
